"num","num2","time","gender2","age2","lhs2","general.trust2","close.trust2","all2","unstable2","unpredictable2","hard2","safe2"
"92.0","89.0","801秒","2.0","46.0","173.0","19.0","73.0","23.0","3.0","4.0","5.0","7.0"
"93.0","90.0","268秒","2.0","23.0","150.0","21.0","77.0","16.0","1.0","2.0","2.0","7.0"
"94.0","91.0","638秒","2.0","37.0","186.0","19.0","81.0","17.0","1.0","5.0","1.0","6.0"
"95.0","92.0","510秒","2.0","28.0","195.0","19.0","76.0","20.0","4.0","4.0","5.0","5.0"
"96.0","93.0","618秒","2.0","47.0","156.0","21.0","104.0","15.0","3.0","4.0","4.0","4.0"
"97.0","94.0","618秒","1.0","46.0","172.0","22.0","85.0","18.0","4.0","2.0","4.0","6.0"
"98.0","95.0","451秒","2.0","47.0","197.0","30.0","110.0","21.0","3.0","4.0","6.0","4.0"
"99.0","96.0","298秒","2.0","37.0","184.0","24.0","71.0","16.0","5.0","4.0","4.0","7.0"
"100.0","97.0","690秒","1.0","54.0","169.0","24.0","114.0","26.0","3.0","6.0","1.0","7.0"
"101.0","98.0","327秒","1.0","43.0","175.0","23.0","73.0","12.0","5.0","3.0","4.0","4.0"
"102.0","99.0","241秒","1.0","21.0","152.0","20.0","90.0","13.0","1.0","2.0","2.0","7.0"
"103.0","100.0","704秒","1.0","46.0","172.0","19.0","82.0","18.0","6.0","6.0","5.0","5.0"
"104.0","101.0","123秒","1.0","23.0","168.0","20.0","87.0","16.0","5.0","6.0","6.0","6.0"
"105.0","102.0","899秒","2.0","50.0","161.0","16.0","85.0","22.0","1.0","1.0","5.0","1.0"
"106.0","103.0","463秒","2.0","45.0","166.0","19.0","72.0","20.0","6.0","5.0","3.0","6.0"
"107.0","104.0","680秒","2.0","50.0","178.0","24.0","98.0","22.0","1.0","1.0","1.0","1.0"
"108.0","105.0","307秒","1.0","27.0","179.0","26.0","68.0","16.0","3.0","4.0","2.0","5.0"
"109.0","106.0","399秒","1.0","49.0","201.0","22.0","102.0","20.0","7.0","1.0","1.0","7.0"
"110.0","107.0","399秒","1.0","49.0","201.0","22.0","102.0","20.0","4.0","4.0","4.0","4.0"
"111.0","108.0","320秒","2.0","46.0","186.0","30.0","119.0","24.0","2.0","2.0","3.0","3.0"
"112.0","109.0","560秒","2.0","43.0","171.0","14.0","86.0","25.0","2.0","2.0","3.0","3.0"
"113.0","110.0","674秒","2.0","36.0","193.0","28.0","85.0","25.0","1.0","1.0","1.0","3.0"
"114.0","111.0","1227秒","2.0","30.0","131.0","18.0","91.0","18.0","1.0","1.0","1.0","4.0"
"115.0","112.0","1174秒","2.0","62.0","160.0","27.0","98.0","13.0","2.0","2.0","1.0","6.0"
"116.0","113.0","1688秒","1.0","48.0","126.0","21.0","88.0","25.0","3.0","3.0","3.0","3.0"
"117.0","114.0","1584秒","1.0","38.0","190.0","23.0","90.0","17.0","7.0","1.0","7.0","4.0"
"118.0","115.0","823秒","2.0","36.0","172.0","23.0","91.0","17.0","1.0","2.0","2.0","6.0"
"119.0","116.0","630秒","2.0","42.0","165.0","21.0","68.0","27.0","5.0","4.0","3.0","5.0"
"120.0","117.0","1214秒","2.0","53.0","155.0","18.0","65.0","26.0","4.0","4.0","4.0","5.0"
"121.0","118.0","7551秒","2.0","45.0","180.0","24.0","94.0","22.0","1.0","1.0","1.0","6.0"
"122.0","119.0","387秒","1.0","21.0","234.0","22.0","106.0","17.0","1.0","2.0","1.0","6.0"
"123.0","120.0","9065秒","2.0","49.0","179.0","23.0","100.0","28.0","7.0","1.0","1.0","7.0"
"124.0","121.0","330秒","1.0","50.0","158.0","25.0","107.0","27.0","4.0","7.0","3.0","7.0"
"125.0","122.0","537秒","2.0","58.0","151.0","20.0","78.0","19.0","1.0","1.0","1.0","7.0"
"126.0","123.0","502秒","2.0","40.0","164.0","24.0","70.0","21.0","1.0","1.0","1.0","6.0"
"127.0","124.0","715秒","2.0","46.0","170.0","23.0","85.0","27.0","2.0","2.0","3.0","2.0"
"128.0","125.0","499秒","2.0","55.0","183.0","25.0","95.0","14.0","1.0","3.0","3.0","4.0"
"129.0","126.0","475秒","1.0","48.0","182.0","27.0","111.0","28.0","1.0","1.0","1.0","6.0"
"130.0","127.0","715秒","2.0","59.0","174.0","21.0","75.0","21.0","5.0","4.0","6.0","5.0"
"131.0","128.0","136秒","2.0","55.0","175.0","22.0","85.0","18.0","1.0","1.0","1.0","7.0"
"132.0","129.0","1034秒","2.0","49.0","148.0","24.0","70.0","22.0","4.0","2.0","2.0","5.0"
"133.0","130.0","258秒","2.0","54.0","185.0","17.0","106.0","16.0","3.0","5.0","4.0","6.0"
"134.0","131.0","820秒","2.0","47.0","137.0","18.0","83.0","13.0","2.0","2.0","3.0","5.0"
"135.0","132.0","285秒","1.0","46.0","158.0","22.0","58.0","22.0","7.0","1.0","7.0","7.0"
"136.0","133.0","415秒","2.0","34.0","183.0","30.0","95.0","28.0","5.0","5.0","5.0","4.0"
"137.0","134.0","283秒","2.0","47.0","216.0","23.0","96.0","12.0","1.0","1.0","1.0","1.0"
"138.0","135.0","472秒","2.0","44.0","166.0","12.0","90.0","28.0","1.0","1.0","1.0","7.0"
"139.0","136.0","374秒","2.0","37.0","191.0","22.0","108.0","17.0","6.0","5.0","6.0","5.0"
"140.0","137.0","916秒","2.0","54.0","204.0","27.0","106.0","28.0","1.0","1.0","1.0","7.0"
"141.0","138.0","309秒","1.0","50.0","149.0","25.0","94.0","27.0","3.0","4.0","4.0","4.0"
"142.0","139.0","1026秒","1.0","48.0","142.0","22.0","91.0","25.0","1.0","1.0","1.0","7.0"
"143.0","140.0","293秒","2.0","50.0","205.0","14.0","102.0","12.0","1.0","1.0","1.0","6.0"
"144.0","141.0","513秒","2.0","45.0","147.0","20.0","86.0","21.0","2.0","1.0","1.0","5.0"
"145.0","142.0","295秒","2.0","27.0","170.0","24.0","107.0","16.0","6.0","6.0","6.0","6.0"
"146.0","143.0","302秒","2.0","29.0","140.0","12.0","83.0","12.0","1.0","2.0","2.0","2.0"
"147.0","144.0","514秒","2.0","55.0","183.0","24.0","105.0","28.0","1.0","6.0","6.0","5.0"
"148.0","145.0","547秒","2.0","56.0","209.0","24.0","86.0","27.0","4.0","4.0","6.0","2.0"
"150.0","146.0","629秒","1.0","29.0","147.0","13.0","104.0","17.0","1.0","1.0","1.0","7.0"
"152.0","147.0","1188秒","2.0","46.0","184.0","24.0","90.0","28.0","1.0","1.0","1.0","6.0"
"154.0","148.0","495秒","1.0","48.0","124.0","23.0","80.0","14.0","1.0","1.0","1.0","7.0"
"155.0","149.0","567秒","2.0","46.0","172.0","25.0","97.0","28.0","4.0","4.0","4.0","5.0"
"156.0","150.0","720秒","2.0","53.0","192.0","25.0","100.0","21.0","1.0","1.0","1.0","7.0"
"157.0","151.0","500秒","1.0","50.0","170.0","24.0","88.0","26.0","6.0","6.0","6.0","6.0"
"158.0","152.0","369秒","2.0","54.0","207.0","29.0","107.0","28.0","5.0","5.0","5.0","5.0"
"159.0","153.0","398秒","2.0","40.0","160.0","17.0","65.0","22.0","1.0","1.0","1.0","7.0"
"160.0","154.0","1373秒","1.0","52.0","156.0","25.0","86.0","19.0","1.0","2.0","2.0","2.0"
"161.0","155.0","194秒","2.0","50.0","214.0","30.0","116.0","28.0","1.0","1.0","1.0","5.0"
"162.0","156.0","167秒","2.0","21.0","162.0","24.0","97.0","24.0","1.0","1.0","1.0","7.0"
"163.0","157.0","719秒","2.0","52.0","150.0","17.0","83.0","22.0","2.0","2.0","2.0","4.0"
"164.0","158.0","2280秒","1.0","47.0","194.0","30.0","119.0","22.0","3.0","2.0","5.0","5.0"
"165.0","159.0","185秒","2.0","22.0","155.0","24.0","68.0","17.0","1.0","1.0","1.0","7.0"
"166.0","160.0","424秒","2.0","42.0","173.0","24.0","88.0","20.0","2.0","2.0","2.0","6.0"
